Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07
B-26776,4975,1330,14,Electronics,Printers,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06
B-26776,4975,1330,14,Electronics,Printers,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12
B-26776,4975,1330,14,Electronics,Printers,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,5/11/2024,John Fields,Florida,Orlando,2024-05
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,10/9/2021,Clayton Smith,Florida,Miami,2021-10
B-26640,883,117,10,Electronics,Laptops,EMI,11/18/2022,Richard Kelley,California,Los Angeles,2022-11
B-26640,8127,3551,16,Furniture,Tables,Credit Card,11/18/2022,Richard Kelley,California,Los Angeles,2022-11
B-25890,2516,734,19,Furniture,Chairs,UPI,11/12/2023,Jacqueline Hubbard,New York,New York City,2023-11
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,3/23/2020,Jessica Anderson,New York,New York City,2020-03
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05
B-25426,1023,78,9,Furniture,Tables,UPI,5/4/2020,Mary Taylor,Florida,Orlando,2020-05
B-25238,7600,1098,10,Office Supplies,Pens,UPI,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11
B-25238,7501,262,18,Office Supplies,Paper,COD,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11
