Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year,Month,Month_Name,Quarter,Day_of_Week,Day_Name,Is_Weekend,Profit_Margin_Pct,Revenue_Per_Unit,Profit_Per_Unit,Order_Value_Category
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,2023,6,June,2,1,Tuesday,0,13.10919185687847,1945.2,255.0,Premium
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,2024,12,December,4,4,Friday,0,13.10919185687847,1945.2,255.0,Premium
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,2021,7,July,3,6,Sunday,1,13.10919185687847,1945.2,255.0,Premium
B-26776,4975,1330,14,Electronics,Printers,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,2023,6,June,2,1,Tuesday,0,26.733668341708544,355.35714285714283,95.0,Medium
B-26776,4975,1330,14,Electronics,Printers,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,2024,12,December,4,4,Friday,0,26.733668341708544,355.35714285714283,95.0,Medium
B-26776,4975,1330,14,Electronics,Printers,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,2021,7,July,3,6,Sunday,1,26.733668341708544,355.35714285714283,95.0,Medium
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2024-05-11,John Fields,Florida,Orlando,2024-05,2024,5,May,2,5,Saturday,1,12.131147540983607,127.08333333333333,15.416666666666666,Low
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2021-10-09,Clayton Smith,Florida,Miami,2021-10,2021,10,October,4,5,Saturday,1,12.131147540983607,127.08333333333333,15.416666666666666,Low
B-26640,883,117,10,Electronics,Laptops,EMI,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,2022,11,November,4,4,Friday,0,13.250283125707815,88.3,11.7,Low
B-26640,8127,3551,16,Furniture,Tables,Credit Card,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,2022,11,November,4,4,Friday,0,43.69385997292974,507.9375,221.9375,Premium
B-25890,2516,734,19,Furniture,Chairs,UPI,2023-11-12,Jacqueline Hubbard,New York,New York City,2023-11,2023,11,November,4,6,Sunday,1,29.17329093799682,132.42105263157896,38.63157894736842,Medium
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,2020-03-23,Jessica Anderson,New York,New York City,2020-03,2020,3,March,1,0,Monday,0,15.529411764705884,212.5,33.0,Medium
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,0,Monday,0,41.04510290468545,6851.0,2812.0,High
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,0,Monday,0,13.716233936532914,508.4,69.73333333333333,Premium
B-25426,1023,78,9,Furniture,Tables,UPI,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,0,Monday,0,7.624633431085044,113.66666666666667,8.666666666666666,Low
B-25238,7600,1098,10,Office Supplies,Pens,UPI,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,2023,11,November,4,3,Thursday,0,14.44736842105263,760.0,109.8,Premium
B-25238,7501,262,18,Office Supplies,Paper,COD,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,2023,11,November,4,3,Thursday,0,3.4928676176509796,416.72222222222223,14.555555555555555,Premium
B-25051,725,133,6,Office Supplies,Paper,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,2024,12,December,4,0,Monday,0,18.344827586206897,120.83333333333333,22.166666666666668,Low
B-25051,7201,2685,2,Furniture,Tables,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,2024,12,December,4,0,Monday,0,37.28648798777947,3600.5,1342.5,High
B-26510,1629,265,1,Office Supplies,Paper,UPI,2025-02-11,Douglas Pennington,Texas,Dallas,2025-02,2025,2,February,1,1,Tuesday,0,16.267648864333946,1629.0,265.0,Low
B-26510,1629,265,1,Office Supplies,Paper,UPI,2024-01-23,Ricardo Andrews,California,San Diego,2024-01,2024,1,January,1,1,Tuesday,0,16.267648864333946,1629.0,265.0,Low
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,2020-11-28,Paul Raymond,California,San Diego,2020-11,2020,11,November,4,5,Saturday,1,33.11782409987739,472.1578947368421,156.3684210526316,Premium
B-25104,2939,894,20,Office Supplies,Binders,COD,2020-11-28,Paul Raymond,California,San Diego,2020-11,2020,11,November,4,5,Saturday,1,30.41850969717591,146.95,44.7,Medium
B-25553,9380,414,11,Electronics,Phones,UPI,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,3,Thursday,0,4.4136460554371,852.7272727272727,37.63636363636363,Premium
B-25553,8558,1644,18,Office Supplies,Binders,Credit Card,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,3,Thursday,0,19.21009581677962,475.44444444444446,91.33333333333333,Premium
B-25553,4080,72,17,Office Supplies,Paper,COD,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,3,Thursday,0,1.7647058823529411,240.0,4.235294117647059,Medium
B-26703,4206,1821,17,Electronics,Electronic Games,EMI,2022-01-23,Juan Erickson,Texas,Austin,2022-01,2022,1,January,1,6,Sunday,1,43.295292439372325,247.41176470588235,107.11764705882354,Medium
B-26232,5219,1180,20,Office Supplies,Binders,COD,2021-12-17,Alexander Reed,New York,New York City,2021-12,2021,12,December,4,4,Friday,0,22.60969534393562,260.95,59.0,High
B-26232,5219,1180,20,Office Supplies,Binders,COD,2023-02-03,Jacqueline Harris,California,San Francisco,2023-02,2023,2,February,1,4,Friday,0,22.60969534393562,260.95,59.0,High
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-10-30,Tyler Park,California,San Francisco,2022-10,2022,10,October,4,6,Sunday,1,20.618556701030926,184.3,38.0,Medium
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-01-15,Richard Wolfe,Ohio,Columbus,2022-01,2022,1,January,1,5,Saturday,1,20.618556701030926,184.3,38.0,Medium
B-26157,6045,1606,4,Office Supplies,Paper,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,2023,12,December,4,3,Thursday,0,26.567411083540115,1511.25,401.5,High
B-26157,9337,554,11,Office Supplies,Pens,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,2023,12,December,4,3,Thursday,0,5.93338331369819,848.8181818181819,50.36363636363637,Premium
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,2023,7,July,3,0,Monday,0,45.618365835596144,337.5833333333333,154.0,Medium
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,2021,5,May,2,5,Saturday,1,45.618365835596144,337.5833333333333,154.0,Medium
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,2023,7,July,3,0,Monday,0,17.28197964478148,455.54545454545456,78.72727272727273,High
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,2021,5,May,2,5,Saturday,1,17.28197964478148,455.54545454545456,78.72727272727273,High
B-26139,3958,630,15,Furniture,Sofas,EMI,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,2022,10,October,4,4,Friday,0,15.917129863567459,263.8666666666667,42.0,Medium
B-26139,3132,963,1,Furniture,Tables,Debit Card,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,2022,10,October,4,4,Friday,0,30.747126436781606,3132.0,963.0,Medium
B-25032,7784,2937,12,Office Supplies,Markers,UPI,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,1,Tuesday,0,37.73124357656732,648.6666666666666,244.75,Premium
B-25032,5591,1696,3,Office Supplies,Pens,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,1,Tuesday,0,30.334466106242175,1863.6666666666667,565.3333333333334,High
B-25032,5122,2413,12,Electronics,Electronic Games,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,1,Tuesday,0,47.11050370948848,426.8333333333333,201.08333333333334,High
B-25730,8293,2632,8,Office Supplies,Binders,COD,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,2022,1,January,1,2,Wednesday,0,31.73761003255758,1036.625,329.0,Premium
